id,year,location,latitude,longitude,site,level,transect,kelp_density,genus_species,total_length,abundance,source
2013-POINT_DUME-OUTER-BOT-2,Winter 2013 - 2014,PDU,33.998533,-118.805633,OUTER,BOT,2,ND,Anisotremus davidsoni,24,4,PISCO
2013-POINT_DUME-OUTER-BOT-2,Winter 2013 - 2014,PDU,33.998533,-118.805633,OUTER,BOT,2,ND,Anisotremus davidsoni,25,1,PISCO
2013-POINT_DUME-OUTER-BOT-3,Winter 2013 - 2014,PDU,33.998533,-118.805633,OUTER,BOT,3,ND,Anisotremus davidsoni,23,1,PISCO
2011-LITTLE_IRISH_CEN-INMID-BOT-3,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,BOT,3,ND,Aulorhyncus flavidus,12,1,PISCO
2011-LITTLE_IRISH_CEN-INMID-MID-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,MID,1,ND,Aulorhyncus flavidus,14,3,PISCO
2011-LITTLE_IRISH_CEN-INMID-MID-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,MID,1,ND,Aulorhyncus flavidus,16,1,PISCO
2011-SMI_HARRIS_PT_RESERVE_E-INNER-CNMD-2,Winter 2011 - 2012,SMI,34.052783,-120.337383,INNER,CNMD,2,ND,Aulorhyncus flavidus,13,1,PISCO
2013-CANNERY_DC-INMID-MID-3,Winter 2013 - 2014,CAN,36.614953,-121.896037,INMID,MID,3,ND,Aulorhyncus flavidus,11,1,PISCO
2013-CANNERY_DC-OUTER-MID-2,Winter 2013 - 2014,CAN,36.614953,-121.896037,OUTER,MID,2,ND,Aulorhyncus flavidus,13,13,PISCO
2013-CANNERY_DC-OUTMID-MID-3,Winter 2013 - 2014,CAN,36.614953,-121.896037,OUTMID,MID,3,ND,Aulorhyncus flavidus,12,1,PISCO
2011-ANACAPA_MIDDLE_ISLE_CEN-INNER-CNMD-3,Winter 2011 - 2012,ANA,34.009883,-119.388333,INNER,CNMD,3,ND,Atherinopsis californiensis,23,25,PISCO
2011-POINT_DUME-INMID-MID-1,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,1,ND,Atherinopsis californiensis,14.5,52,PISCO
2011-POINT_DUME-INMID-MID-1,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,1,ND,Atherinopsis californiensis,23,1,PISCO
2011-POINT_DUME-INMID-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,2,ND,Atherinopsis californiensis,14.5,20,PISCO
2011-POINT_DUME-INMID-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,2,ND,Atherinopsis californiensis,17,30,PISCO
2011-POINT_DUME-INMID-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,2,ND,Atherinopsis californiensis,22,2,PISCO
2011-POINT_DUME-INMID-MID-3,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,3,ND,Atherinopsis californiensis,14,1,PISCO
2011-POINT_DUME-INMID-MID-3,Winter 2011 - 2012,PDU,33.998533,-118.805633,INMID,MID,3,ND,Atherinopsis californiensis,21,1,PISCO
2011-POINT_DUME-INNER-CNMD-1,Winter 2011 - 2012,PDU,33.998533,-118.805633,INNER,CNMD,1,ND,Atherinopsis californiensis,14.5,60,PISCO
2011-POINT_DUME-INNER-CNMD-3,Winter 2011 - 2012,PDU,33.998533,-118.805633,INNER,CNMD,3,ND,Atherinopsis californiensis,21.5,4,PISCO
2011-POINT_DUME-OUTER-MID-1,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,1,ND,Atherinopsis californiensis,17,60,PISCO
2011-POINT_DUME-OUTER-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,2,ND,Atherinopsis californiensis,16.5,5,PISCO
2011-POINT_DUME-OUTER-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,2,ND,Atherinopsis californiensis,18,1,PISCO
2011-POINT_DUME-OUTER-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,2,ND,Atherinopsis californiensis,18,27,PISCO
2011-POINT_DUME-OUTER-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,2,ND,Atherinopsis californiensis,19,15,PISCO
2011-POINT_DUME-OUTER-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,2,ND,Atherinopsis californiensis,26,1,PISCO
2011-POINT_DUME-OUTER-MID-3,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,3,ND,Atherinopsis californiensis,17.5,40,PISCO
2011-POINT_DUME-OUTER-MID-3,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTER,MID,3,ND,Atherinopsis californiensis,21.5,20,PISCO
2011-POINT_DUME-OUTMID-MID-1,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTMID,MID,1,ND,Atherinopsis californiensis,15,50,PISCO
2011-POINT_DUME-OUTMID-MID-1,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTMID,MID,1,ND,Atherinopsis californiensis,18,35,PISCO
2011-POINT_DUME-OUTMID-MID-2,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTMID,MID,2,ND,Atherinopsis californiensis,14.5,25,PISCO
2011-POINT_DUME-OUTMID-MID-3,Winter 2011 - 2012,PDU,33.998533,-118.805633,OUTMID,MID,3,ND,Atherinopsis californiensis,15,30,PISCO
2011-SCI_CAVERN_POINT_E-OUTMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,OUTMID,CAN,1,ND,Atherinopsis californiensis,16,2,PISCO
2011-SCI_CAVERN_POINT_E-OUTMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,OUTMID,CAN,1,ND,Atherinopsis californiensis,18,3,PISCO
2013-POINT_DUME-INNER-CAN-1,Winter 2013 - 2014,PDU,33.998533,-118.805633,INNER,CAN,1,ND,Atherinopsis californiensis,12.5,75,PISCO
2013-POINT_DUME-INNER-CAN-1,Winter 2013 - 2014,PDU,33.998533,-118.805633,INNER,CAN,1,ND,Atherinopsis californiensis,24,1,PISCO
2013-NAPLES_CEN-INNER-CAN-1,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,1,ND,Atherinopsis californiensis,16,1,PISCO
2013-NAPLES_CEN-INNER-CAN-1,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,1,ND,Atherinopsis californiensis,17,1,PISCO
2013-NAPLES_CEN-INNER-CAN-2,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,2,ND,Atherinopsis californiensis,8,15,PISCO
2013-NAPLES_CEN-INNER-CAN-3,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,3,ND,Atherinopsis californiensis,12,20,PISCO
2013-NAPLES_CEN-INNER-CAN-3,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,3,ND,Atherinopsis californiensis,16,1,PISCO
2013-NAPLES_CEN-INNER-CAN-4,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,4,ND,Atherinopsis californiensis,10.5,4,PISCO
2013-NAPLES_CEN-INNER-CAN-4,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,CAN,4,ND,Atherinopsis californiensis,13,1,PISCO
2013-NAPLES_CEN-INNER-MID-3,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,MID,3,ND,Atherinopsis californiensis,12.5,14,PISCO
2013-NAPLES_CEN-INNER-MID-3,Winter 2013 - 2014,"NAP",34.42185,-119.9515,INNER,MID,3,ND,Atherinopsis californiensis,14,8,PISCO
2013-ANACAPA_MIDDLE_ISLE_CEN-OUTER-BOT-3,Winter 2013 - 2014,ANA,34.009883,-119.388333,OUTER,BOT,3,ND,Bathymasteridae,8,2,PISCO
2011-NAPLES_CEN-INNER-BOT-1,Winter 2011 - 2012,"NAP",34.42185,-119.9515,INNER,BOT,1,ND,Brachyistius frenatus,10.5,5,PISCO
2011-NAPLES_CEN-INNER-BOT-4,Winter 2011 - 2012,"NAP",34.42185,-119.9515,INNER,BOT,4,ND,Brachyistius frenatus,10,1,PISCO
2011-LITTLE_IRISH_CEN-INMID-CAN-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,CAN,1,ND,Brachyistius frenatus,5,1,PISCO
2011-LITTLE_IRISH_CEN-INMID-CAN-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,CAN,1,ND,Brachyistius frenatus,7,2,PISCO
2011-LITTLE_IRISH_CEN-INMID-CAN-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,CAN,1,ND,Brachyistius frenatus,11,1,PISCO
2011-LITTLE_IRISH_CEN-INMID-MID-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,INMID,MID,1,ND,Brachyistius frenatus,13,1,PISCO
2011-LITTLE_IRISH_CEN-OUTMID-CAN-1,Winter 2011 - 2012,LIC,35.178059,-120.817733,OUTMID,CAN,1,ND,Brachyistius frenatus,3,1,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,1,ND,Brachyistius frenatus,6,1,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,1,ND,Brachyistius frenatus,8,3,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,1,ND,Brachyistius frenatus,9,2,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,1,ND,Brachyistius frenatus,14,1,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,1,ND,Brachyistius frenatus,17,2,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-2,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,2,ND,Brachyistius frenatus,9,1,PISCO
2011-SCI_CAVERN_POINT_E-INMID-CAN-3,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,CAN,3,ND,Brachyistius frenatus,8,1,PISCO
2011-SCI_CAVERN_POINT_E-INMID-MID-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,MID,1,ND,Brachyistius frenatus,8,3,PISCO
2011-SCI_CAVERN_POINT_E-INMID-MID-1,Winter 2011 - 2012,SCI,34.054283,-119.566867,INMID,MID,1,ND,Brachyistius frenatus,11,4,PISCO
