"location","Stot_wo0_2011","Stot_wo0_2013","S_rare_2011","S_rare_2013","D_2011","D_2013","H_2011","H_2013","J_2011","J_2013","L_2011","L_2013"
"CANNERY_DC",20,25,22.0374004909975,28.6137523147702,"21.25 $\pm$ 25.87","134.27 $\pm$ 92.54","0.86 $\pm$ 0.61","0.81 $\pm$ 0.44","0.74 $\pm$ 0.15","0.55 $\pm$ 0.16","0.51 $\pm$ 0.29","0.42 $\pm$ 0.22"
"NAPLES_CEN",22,22,24.8200108001859,24.6497469891931,"22.19 $\pm$ 19.94","38.94 $\pm$ 30.12","1.09 $\pm$ 0.77","1.14 $\pm$ 0.72","0.79 $\pm$ 0.14","0.76 $\pm$ 0.14","0.57 $\pm$ 0.31","0.57 $\pm$ 0.26"
"SCI_CAVERN_POINT_E",24,22,26.2919460315645,24.3790715418254,"31.55 $\pm$ 25.28","31.12 $\pm$ 26.88","1.23 $\pm$ 0.58","1.05 $\pm$ 0.59","0.76 $\pm$ 0.19","0.73 $\pm$ 0.20","0.63 $\pm$ 0.26","0.58 $\pm$ 0.27"
"ANACAPA_MIDDLE_ISLE_CEN",14,17,15.274623230027,18.7389151921626,"37.81 $\pm$ 44.14","66.81 $\pm$ 94.93","0.81 $\pm$ 0.53","0.65 $\pm$ 0.43","0.67 $\pm$ 0.18","0.59 $\pm$ 0.26","0.46 $\pm$ 0.26","0.40 $\pm$ 0.29"
"POINT_DUME",22,25,23.9368349741998,28.140338891275,"62.58 $\pm$ 38.47","55.64 $\pm$ 55.28","0.92 $\pm$ 0.59","0.94 $\pm$ 0.65","0.67 $\pm$ 0.21","0.67 $\pm$ 0.23","0.47 $\pm$ 0.28","0.49 $\pm$ 0.29"
"BMA",20,21,22.3515724628825,24.4687305968368,"59.58 $\pm$ 32.61","103.27 $\pm$ 104.13","1.28 $\pm$ 0.71","1.04 $\pm$ 0.71","0.69 $\pm$ 0.24","0.63 $\pm$ 0.34","0.62 $\pm$ 0.28","0.55 $\pm$ 0.33"
"SSI",24,29,26.0048326668147,33.9099623098116,"300.58 $\pm$ 447.03","230.67 $\pm$ 418.96","0.98 $\pm$ 0.89","1.20 $\pm$ 0.79","0.45 $\pm$ 0.31","0.64 $\pm$ 0.30","0.41 $\pm$ 0.35","0.55 $\pm$ 0.31"
"SMI",21,23,24.9234012784063,24.9790690095417,"23.58 $\pm$ 28.11","73.33 $\pm$ 70.51","1.15 $\pm$ 0.74","1.16 $\pm$ 0.86","0.77 $\pm$ 0.23","0.64 $\pm$ 0.29","0.60 $\pm$ 0.34","0.50 $\pm$ 0.37"
"ITSP",21,19,23.4978470932717,22.4290976540581,"60.17 $\pm$ 28.45","248.08 $\pm$ 292.44","1.35 $\pm$ 0.51","0.73 $\pm$ 0.38","0.66 $\pm$ 0.17","0.45 $\pm$ 0.19","0.62 $\pm$ 0.21","0.38 $\pm$ 0.20"
"RET",22,23,26.3654179377161,25.863245737018,"13.36 $\pm$ 12.15","62.83 $\pm$ 36.00","1.07 $\pm$ 0.62","1.09 $\pm$ 0.53","0.83 $\pm$ 0.16","0.56 $\pm$ 0.19","0.62 $\pm$ 0.28","0.52 $\pm$ 0.23"
"ERE",7,15,8.1544968277,17.74381715229,"20.90 $\pm$ 22.61","33.75 $\pm$ 63.60","0.40 $\pm$ 0.42","0.58 $\pm$ 0.78","0.63 $\pm$ 0.28","0.76 $\pm$ 0.16","0.27 $\pm$ 0.26","0.32 $\pm$ 0.37"
"ISME",16,18,18.6502927686376,19.9387254549862,"45.00 $\pm$ 35.41","140.50 $\pm$ 75.66","0.99 $\pm$ 0.65","0.80 $\pm$ 0.46","0.67 $\pm$ 0.23","0.44 $\pm$ 0.23","0.50 $\pm$ 0.29","0.39 $\pm$ 0.23"
"ERO",21,13,23.6733582145716,15.7853652263374,"26.83 $\pm$ 26.53","20.50 $\pm$ 27.63","1.07 $\pm$ 0.98","0.77 $\pm$ 0.71","0.80 $\pm$ 0.18","0.70 $\pm$ 0.27","0.63 $\pm$ 0.32","0.49 $\pm$ 0.35"
"ASA",12,18,14.5935544415633,20.4460851344442,"27.73 $\pm$ 18.18","109.45 $\pm$ 177.22","0.70 $\pm$ 0.52","0.77 $\pm$ 0.62","0.62 $\pm$ 0.24","0.52 $\pm$ 0.34","0.40 $\pm$ 0.28","0.47 $\pm$ 0.37"
