location,ID,sstmean
PDU,1,16
LIC,2,12.853890419006348
SHP,3,14
CAN,4,13
ANA,5,15.642889976501465
SCI,6,15.044750213623047
"NAP",7,15
ASA,8,16.20063018798828
BMA,9,17
ERE,10,16.018720626831055
ERO,11,16.07101058959961
ICO,12,17
ISJE,13,16.07101058959961
ISJP,14,16.20063018798828
ISME,15,17
ISMP,16,17
ITSE,17,17
ITSP,18,17
RET,19,16.47532081604004
ICE,20,18.028839111328125
CKE,21,17.118419647216797
CLO,22,17
COL,23,16.104660034179688
ISB,24,18
PCH,25,16.082239151000977
SMI,26,17
SSI,27,17
STO,28,16.47532081604004
VTR,29,16.955320358276367
