id,location,site,zone,level,latitude,longitude,transect,kelp_density,genus_species,total_length,abundance,a_tl2tw,b_tl2tw,nt,lm,lmax,record,year,class,order,family,genus,kelp_abundance,body_shape,demers_pelag,price_categ,usedas_bait,aquarium,importance,comments
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Alloclinus holderi,10,1,NA,NA,NA,NA,NA,1,2013,Actinopteri,Blenniiformes,Labrisomidae,Alloclinus,30,elongated,demersal,unknown,never/rarely,never/rarely,NA,"Inhabits rocky areas, subtidal and to 49 m depth (Ref. 2850)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Caulolatilus princeps,20,3,0.0239,3,NA,NA,102,2,2013,Actinopteri,Eupercaria/misc,Latilidae,Caulolatilus,30,elongated,reef-associated,low,never/rarely,never/rarely,commercial,Inhabits rocky bottoms (Ref. 9119).  Also found on soft sand and mud bottoms.  Solitary species.  Digs into the substrate for food (Ref. 5227).
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Chromis punctipinnis,10,14,NA,NA,2.7,NA,NA,3,2013,Actinopteri,Ovalentaria/misc,Pomacentridae,Chromis,30,fusiform / normal,reef-associated,unknown,never/rarely,NA,minor commercial,"Adults occur near bottom over or near rocks, especially over steep banks, and also in kelp beds.  Young school in open ocean.  They retire to rocky holes at night (Ref. 7247).  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Good eating."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Embiotoca jacksoni,20,6,NA,NA,3.3,NA,39,4,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,30,short and / or deep,demersal,unknown,NA,NA,NA,"Adults chiefly live in rocky areas near kelp, occasionally over sand bottom of coastal bays and around piers and pilings, and rarely in surf.  Occur from intertidal areas to 46 m depth, but usually at about 6.1 m.  Usually form small groups.  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Embiotoca lateralis,20,1,NA,NA,NA,NA,NA,5,2013,Actinopteri,Ovalentaria/misc,Embiotocidae,Embiotoca,30,short and / or deep,demersal,unknown,never/rarely,public aquariums,commercial,"Adults occur in rocky coasts and kelp beds, occasionally in sandy surf near rocks (Ref. 2850).  Feed on small crustaceans, worms, and mussels; occasionally on herring eggs (Ref. 4925).  Viviparous, female carries the developing young (Ref. 205)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Girella nigricans,25,1,0.00877777,3.36,2.8,NA,66,6,2013,Actinopteri,Centrarchiformes,Girellidae,Girella,30,short and / or deep,benthopelagic,medium,never/rarely,never/rarely,commercial,"A resident intertidal species with homing behavior (Ref. 32612).  Can leave tide pools if aquatic conditions become inhospitable (Ref. 31184).  Also found near or over rocks and in kelp beds up to about 30 m depth.  Feed mainly on seaweed, occasionally takes invertebrates.  Form dense schools in spring in kelp beds.  Pelagic spawner (Ref. 56049).  Breathe air when out of water (Ref. 31184).  Considered an important game fish and may incidentally be caught in commercial fishing activities (Ref. 9310).  Marketed fresh (Ref. 9310)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Hypsypops rubicundus,20,4,0.020213841,3.0895,3.2,NA,NA,7,2013,Actinopteri,Ovalentaria/misc,Pomacentridae,Hypsypops,30,short and / or deep,reef-associated,unknown,never/rarely,never/rarely,NA,"Adults occur over rocky bottom in clear water, often near crevices and small caves, occasionally in kelp.  Adults defend a home territory.  Feed mainly on attached invertebrates.  Oviparous, distinct pairing during breeding (Ref. 205).  Eggs are demersal and adhere to the substrate (Ref. 205).  Males guard and aerate the eggs (Ref. 205).  Have been reared in captivity (Ref. 35420)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Oxyjulis californica,5,2,NA,NA,3.1,NA,25,8,2013,Actinopteri,Eupercaria/misc,Labridae,Oxyjulis,30,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Oxyjulis californica,10,61,NA,NA,3.1,NA,25,9,2013,Actinopteri,Eupercaria/misc,Labridae,Oxyjulis,30,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
2013-ASA-N-Bottom-1,ASA,N,NA,Bottom,29.731835,-115.76808,1,0.5,Oxyjulis californica,15,46,NA,NA,3.1,NA,25,10,2013,Actinopteri,Eupercaria/misc,Labridae,Oxyjulis,30,elongated,demersal,very high,never/rarely,commercial,NA,"Live in kelp and other seaweeds and over rocks. Occurs in intertidal up to 97 m (Ref. 96339). Found usually at depths shallower than 23 m but also caught at depths up to 73 m.  Often form small groups, frequently well off bottom.  When disturbed often burrows in bottom sediment.  Sleep at night buried in sand with head protruding.  Feed on a variety of small invertebrates and also picks parasites from other fishes that come to be cleaned.  No sex reversal.  Pelagic spawner (Ref. 56049)."
