"location","Alloclinus holderi","Anisotremus davidsonii","Artedius corallinus","Artedius spp","Atherinops affinis","Atherinopsis californiensis","Brachyistius frenatus","Caulolatilus princeps","Chromis punctipinnis","Clinocottus analis","Cymatogaster aggregata","Cynoscion parvipinnis","Embiotoca jacksoni","Embiotoca lateralis","Engraulix mordax/A. compressa","Gibbonsia elegans","Girella nigricans","Halichoeres semicinctus","Hermosilla azurea","Heterostichus rostratus","Hyperprosopon anale","Hypsoblennius gilberti","Hypsurus caryi","Hypsypops rubicundus","Medialuna californiensis","Micrometrus minimus","Ophiodon elongatus","Oxyjulis californica","Oxylebius pictus","Paralabrax clathratus","Paralabrax nebulifer","Phanerodon atripes","Phanerodon furcatus","Raja inornata","Rathbunella hypoplecta","Rhacochilus toxotes","Rhacochilus vacca","Rhinogobiops nicholsii","Sardinops sagax","Scomber japonicus","Scorpaena guttata","Scorpaena mystes","Scorpaenichthys marmoratus","Sebastes atrovirens","Sebastes auriculatus","Sebastes carnatus","Sebastes caurinus","Sebastes chrysomelas","Sebastes dallii","Sebastes hopkinsi","Sebastes melanops","Sebastes miniatus","Sebastes mystinus","Sebastes nebulosus","Sebastes pinniger","Sebastes rastrelliger","Sebastes rubrivinctus","Sebastes serranoides","Sebastes serriceps","Sebastes spp","Semicossyphus pulcher","Seriola lalandi","Sphyraena argentea","Squatina californica","Syngnathus leptorhynchus","Torpedo californica","Trachurus symmetricus","Urobatis halleri","Zapteryx exasperata"
"ASA",1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
"ISJP",1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ISJE",1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"ERO",0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0
"VTR",0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ISMP",0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
"ISME",1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1
"COL",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERE",0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"PCH",0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
